team,hitsFor,penalityMinutesFor,standing
ANA,4048,1644,2
ARI,4346,1424,18
BOS,4016,1672,1
BUF,3984,1598,30
CAR,3614,1220,24
CBJ,5218,1664,14
CGY,3416,1424,27
CHI,2750,1222,7
COL,4070,1418,3
DAL,3288,1512,16
DET,3242,1346,15
EDM,3502,1712,28
FLA,3720,1496,29
L.A,5218,1640,10
MIN,2824,1438,11
MTL,3444,1778,9
N.J,3136,1208,20
NSH,3222,1436,19
NYI,4184,1658,26
NYR,3810,1414,12
OTT,4702,1932,21
PHI,4348,1900,13
PIT,4324,1516,6
S.J,3264,1314,5
STL,3678,1752,4
T.B,3284,1520,8
TOR,5184,1764,23
VAN,3420,1702,25
WPG,4626,1686,22
WSH,3808,1644,17
