team,hitsFor,penalityMinutesFor,standing
ANA,3898,1502,9
ARI,3998,1196,29
BOS,3828,1388,4
BUF,3534,1186,31
CAR,3194,916,21
CBJ,3490,1034,14
CGY,3278,1584,20
CHI,2752,1154,25
COL,3266,1306,17
DAL,3722,1500,19
DET,3212,1300,27
EDM,4268,1324,23
FLA,3306,1574,16
L.A,4230,1370,12
MIN,2734,1288,8
MTL,4338,1324,28
N.J,3632,1260,15
NSH,3312,1520,1
NYI,3632,1142,22
NYR,3428,1230,24
OTT,3932,1186,30
PHI,3340,1226,13
PIT,3902,1358,10
S.J,2760,1084,11
STL,3786,1160,18
T.B,3456,1418,3
TOR,3264,1096,7
VAN,3490,1244,26
VGK,3534,1092,5
WPG,3662,1254,2
WSH,3568,1400,6
